Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
British,2023,GAS,Alpine,5.0,93.863,29.566,38.12,26.177,MEDIUM,5.0,302.0,251.0,244.0,293.0,40.142,0.5888
British,2023,GAS,Alpine,6.0,94.143,29.697,38.381,26.065,MEDIUM,6.0,302.0,252.0,244.0,310.0,40.601,0.5233
British,2023,GAS,Alpine,7.0,94.399,29.916,38.456,26.027,MEDIUM,7.0,302.0,253.0,243.0,313.0,40.732,0.4172
British,2023,GAS,Alpine,8.0,93.905,29.751,38.006,26.148,MEDIUM,8.0,299.0,254.0,243.0,310.0,39.61,0.3899
British,2023,GAS,Alpine,9.0,93.592,29.741,37.85,26.001,MEDIUM,9.0,300.0,253.0,244.0,311.0,40.518,0.305
British,2023,GAS,Alpine,10.0,93.855,29.747,37.908,26.2,MEDIUM,10.0,300.0,252.0,244.0,307.0,40.975,0.3057
British,2023,GAS,Alpine,11.0,93.836,29.877,37.962,25.997,MEDIUM,11.0,298.0,252.0,242.0,305.0,40.499,0.2952
British,2023,GAS,Alpine,12.0,93.705,29.806,37.902,25.997,MEDIUM,12.0,299.0,252.0,245.0,305.0,40.141,0.1278
British,2023,GAS,Alpine,13.0,93.683,29.79,37.925,25.968,MEDIUM,13.0,299.0,253.0,245.0,304.0,40.782,0.1103
British,2023,GAS,Alpine,14.0,93.843,29.922,38.058,25.863,MEDIUM,14.0,296.0,254.0,245.0,306.0,41.158,0.0832
British,2023,GAS,Alpine,15.0,93.769,29.671,38.183,25.915,MEDIUM,15.0,313.0,255.0,245.0,307.0,41.698,0.0732
British,2023,GAS,Alpine,16.0,93.535,29.712,37.938,25.885,MEDIUM,16.0,297.0,253.0,245.0,303.0,39.801,0.1146
